name,district,address,lat,lng,returnSlots
쌍용아파트2단지 정문,종로구,서울특별시 종로구 낙산길198(창신3동),37.58131409,127.0126801,8
청계3가 사거리,종로구,서울특별시 종로구 관수동91-1,37.56855774,126.9921188,5
조계사앞사거리,종로구,서울특별시 종로구 삼봉로95(견지동110),37.5721817,126.9828339,6
자교교회 앞,종로구,서울특별시 종로구 자하문로 56 자교교회,37.58114624,126.9712372,8
올림픽기념 국민생활관 로터리,종로구,서울특별시 종로구 혜화로 50,37.58983612,126.9993439,10
웰니스센터(민방위교육장 앞),종로구,서울특별시 종로구 운니동 98-7,37.57752991,126.9891281,6
현대 뜨레비앙 아파트 앞,종로구,서울특별시 종로구 돈화문로11가길 59,37.57528305,126.9906235,7
돈의문 박물관 마을,종로구,서울특별시 종로구 새문안로 39-1 동서한의원,37.56883621,126.9695511,15
광화문역 6번출구 옆 A,종로구,서울특별시 종로구 세종로 208,37.56993103,126.9764328,10
종로문화원 건너편,종로구,서울특별시 종로구 중학동 10-3,37.57571411,126.9805069,15
통인시장 정자,종로구,종로구 자하문로 7길 76 앞,37.58055878,126.9687882,8
정동사거리,중구,서울특별시 중구 정동길 2-1 정동사거리,37.56805038,126.9692307,6
청계광장 옆,중구,서울특별시 중구 세종대로 136 청계광장 옆,37.56887817,126.9774704,8
광교사거리 남측,중구,서울특별시 중구 남대문로 125 DGB금융센터,37.56863403,126.9823151,10
을지로입구역 4번출구 앞,중구,서울특별시 중구 을지로 55 명동금융센터 앞,37.56622314,126.9835892,17
KEB 하나금융그룹 명동사옥 옆,중구,서울특별시 중구 을지로 66 한국외환은행 본점 앞,37.56546402,126.9841385,15
명동성당 앞,중구,서울특별시 중구 명동길 74 명동성당 앞,37.56447601,126.986969,10
신세계백화점 본점 앞,중구,서울특별시 중구 충무로1가 53-6,37.56143188,126.9806976,8
을지로2가 사거리 북측,중구,서울특별시 중구 을지로 79 을지로2가 사거리 북측,37.56638336,126.9872055,10
을지로2가 사거리 남측,중구,서울특별시 중구 을지로 100 을지로2가 사거리 남측,37.56599045,126.987793,5
충무로역 6번출구 앞,중구,서울특별시 중구 퇴계로 214 충무로역 3.4호선,37.56144714,126.9931107,8
맥스타일 앞,중구,서울특별시 중구 마장로 3 맥스타일,37.56918335,127.0098801,10
동대문역사문화공원역 9번출구 앞,중구,서울특별시 중구 장충단로 지하230 동대문역사문화공원역 9번출구 앞,37.56533051,127.007843,18
시청역(2호선) 9번출구 뒤,중구,서울특별시 중구 서소문로 지하127 시청역(2호선) 9번출구 뒤,37.56322861,126.9748383,24
동대입구역 6번출구 뒤,중구,서울특별시 중구 동호로 지하256 동대입구역 6번출구 뒤,37.55887222,127.0055389,10
약수역 3번출구 뒤,중구,서울특별시 중구 다산로 지하122 약수역 4번출구 뒤,37.55429459,127.0112,10
청구역 2번출구 앞,중구,서울특별시 중구 청구로 77 청구역 5.6호선,37.5604744,127.0140762,12
서울역9번출구,중구,서울특별시 중구 세종대로 지하2 서울역9번출구,37.55599976,126.9733582,7
CJ제일제당 앞,중구,서울특별시 중구 동호로 330 CJ제일제당 앞,37.56386566,127.0027466,8
장충체육관,중구,서울특별시 중구 장충동2가 200-99 장충체육관,37.55853271,127.0069885,15
약수역 10번출구 앞,중구,서울특별시 중구 신당동 357-1 약수역 10번출구 앞,37.55519867,127.0100479,7
신당역 12번 출구 뒤,중구,서울특별시 중구 신당동 99 신당역 5번 출구,37.5658493,127.0164032,22
종로학원본원,중구,서울특별시 중구 청파로 456 종로학원본원 앞,37.55978012,126.9685059,10
훈련원공원주차장 앞,중구,서울특별시 중구 을지로 227 훈련원공원주차장 앞,37.56699371,127.0034638,10
을지로4가역 1번출구,중구,서울특별시 중구 을지로 지하 178 을지로4가역 1번출구,37.5667305,126.9966049,10
충무로역 1번출구,중구,서울특별시 중구 퇴계로 212 충무로역 1번출구,37.56138992,126.9953537,12
시립미술관,중구,서울특별시 중구 덕수궁길 61 서울시립미술관,37.56505203,126.9734039,8
